ticks (50 tps),lower angle,upper angle,holding angle,system x,acceleration,lower acceleration (shoulder),upper acceleration (elbow),,,,2645,0.640433625,2.596652269,0,0.386776147,5.19E-05,-0.032313652,-0.057495229
2753,0.646305219,2.472627878,0,0.339548498,1.93E-05,-0.012292542,0.032148086,,,,,,,,,,,
2754,0.646353559,2.471139669,0,0.339521424,-4.58E-07,0.002416874,0.074411459,,,,,,,,,,,
2755,0.646696583,2.46880579,0,0.338337182,-2.00E-05,0.017152203,0.116691247,,,,,,,,,,,
2756,0.647334294,2.465628624,0,0.336010988,-3.93E-05,0.031884864,0.15886642,,,,,,,,,,,
2757,0.648265795,2.461612463,0,0.332564839,-5.82E-05,0.046576735,0.200811803,,,,,,,,,,,
2758,0.649489538,2.45676446,0,0.32802615,-7.66E-05,0.061185062,0.242390111,,,,,,,,,,,
2759,0.651003257,2.451094627,0,0.322427721,-9.45E-05,0.075684428,0.283493757,,,,,,,,,,,
2760,0.652804093,2.444614649,0,0.315807126,-0.000111676,0.090043411,0.323999166,,,,,,,,,,,
2761,0.654888527,2.437338829,0,0.308206447,-0.000128165,0.104221165,0.363789767,,,,,,,,,,,
2762,0.657252149,2.429283857,0,0.299672986,-0.000143845,0.118181348,0.402748972,,,,,,,,,,,
2763,0.659890072,2.420468569,0,0.290257016,-0.000158666,0.131897807,0.440773129,,,,,,,,,,,
2764,0.66279699,2.410912991,0,0.280011339,-0.000172589,0.145347372,0.477778196,,,,,,,,,,,
2765,0.665966646,2.400640249,0,0.268992682,-0.000185543,0.158483416,0.513641596,,,,,,,,,,,
2766,0.669392542,2.389674425,0,0.257258598,-0.000197522,0.171293572,0.548292637,,,,,,,,,,,
2767,0.673067109,2.378041983,0,0.244870391,-0.000208462,0.183728173,0.581624329,,,,,,,,,,,
2768,0.676982776,2.36577034,0,0.231888122,-0.000218377,0.195781827,0.613580585,,,,,,,,,,,
2769,0.681131021,2.352888823,0,0.218374284,-0.000227242,0.20741044,0.644079268,,,,,,,,,,,
2770,0.685502903,2.339427948,0,0.20439112,-0.000235054,0.218596935,0.673043251,,,,,,,,,,,
2771,0.690089122,2.325419903,0,0.189999561,-0.000241837,0.22930932,0.700408936,,,,,,,,,,,
2772,0.694879727,2.310897112,0,0.17526122,-0.000247579,0.239527091,0.726139247,,,,,,,,,,,
2773,0.699864284,2.295893669,0,0.16023627,-0.000252308,0.249226689,0.750168622,,,,,,,,,,,
2774,0.705032007,2.28044486,0,0.144982701,-0.000256059,0.258387178,0.77244246,,,,,,,,,,,
2775,0.71037157,2.26458621,0,0.1295577,-0.000258847,0.266978741,0.792938471,,,,,,,,,,,
2776,0.715871171,2.248354197,0,0.114016613,-0.000260706,0.274979562,0.811604619,,,,,,,,,,,
2777,0.721518711,2.231786013,0,0.098411922,-0.000261684,0.282378525,0.828421831,,,,,,,,,,,
2778,0.727301494,2.21491909,0,0.08279521,-0.000261797,0.289140433,0.843352556,,,,,,,,,,,
2779,0.733206765,2.197791576,0,0.067213592,-0.00026112,0.295265645,0.856381416,,,,,,,,,,,
2780,0.739221052,2.180442333,0,0.051713285,-0.00025967,0.300715238,0.867476821,,,,,,,,,,,
2781,0.745330707,2.162909508,0,0.036338181,-0.00025748,0.305483043,0.876646698,,,,,,,,,,,
2782,0.751521782,2.145232677,0,0.021128078,-0.000254631,0.309552908,0.883857787,,,,,,,,,,,
2783,0.757779912,2.127450228,0,0.006122599,-0.000251121,0.312906265,0.889127016,,,,,,,,,,,
2784,0.764090554,2.109601498,0,-0.008642736,-0.000247014,0.315531522,0.89243269,,,,,,,,,,,
2785,0.770438866,2.091725826,0,-0.023134544,-0.000242353,0.317418963,0.893793344,,,,,,,,,,,
2786,0.776810006,2.073862076,0,-0.03732259,-0.00023719,0.318556547,0.893203676,,,,,,,,,,,
2787,0.783188717,2.056048393,0,-0.051176493,-0.000231524,0.318933547,0.89068073,,,,,,,,,,,
2788,0.789559499,2.038324118,0,-0.06466952,-0.000225414,0.318539619,0.886215746,,,,,,,,,,,
2789,0.795907036,2.020727158,0,-0.077777102,-0.000218897,0.317379326,0.879859567,,,,,,,,,,,
2790,0.802215771,2.003295183,0,-0.090475645,-0.000211995,0.315438569,0.871607661,,,,,,,,,,,
2791,0.808470444,1.986065149,0,-0.102745051,-0.000204761,0.312734425,0.861497581,,,,,,,,,,,
2792,0.814655201,1.969074488,0,-0.114564515,-0.000197185,0.309241176,0.849544704,,,,,,,,,,,
2793,0.820754842,1.952358842,0,-0.125916754,-0.000189326,0.304984003,0.835792184,,,,,,,,,,,
2794,0.826754049,1.935953498,0,-0.13678495,-0.000181189,0.299959451,0.820276856,,,,,,,,,,,
2795,0.832637564,1.919892907,0,-0.147152789,-0.000172789,0.294175059,0.803030372,,,,,,,,,,,
2796,0.838390664,1.904211044,0,-0.157008323,-0.000164196,0.287653357,0.784101009,,,,,,,,,,,
2797,0.843998627,1.888940215,0,-0.166337489,-0.000155375,0.28039968,0.763547897,,,,,,,,,,,
2798,0.849447087,1.874112129,0,-0.175128508,-0.00014636,0.272423923,0.74140811,,,,,,,,,,,
2799,0.854722397,1.859756827,0,-0.18337207,-0.000137198,0.263766617,0.71776557,,,,,,,,,,,
2800,0.859810845,1.845903873,0,-0.191057897,-0.000127871,0.25442335,0.692649841,,,,,,,,,,,
2801,0.864699618,1.832580805,0,-0.198178225,-0.000118423,0.244436964,0.666159213,,,,,,,,,,,
2802,0.869376377,1.819813848,0,-0.204726015,-0.000108862,0.233835921,0.638349831,,,,,,,,,,,
2803,0.873829321,1.807627797,0,-0.210694913,-9.92E-05,0.22264494,0.609300256,,,,,,,,,,,
2804,0.878047125,1.79604578,0,-0.216078009,-8.94E-05,0.21089077,0.579099774,,,,,,,,,,,
2805,0.882019655,1.785089374,0,-0.220873461,-7.96E-05,0.198622972,0.547817469,,,,,,,,,,,
2806,0.885737197,1.774778247,0,-0.225077505,-6.98E-05,0.185874641,0.515560091,,,,,,,,,,,
2807,0.889190809,1.765130162,0,-0.228687008,-5.99E-05,0.172684535,0.482408345,,,,,,,,,,,
2808,0.892372564,1.756160855,0,-0.231700903,-5.00E-05,0.159087539,0.448464632,,,,,,,,,,,
2809,0.89527537,1.747884393,0,-0.234119556,-4.01E-05,0.145136997,0.413824499,,,,,,,,,,,
2810,0.897893087,1.740312457,0,-0.235943814,-3.02E-05,0.130883381,0.378597677,,,,,,,,,,,
2811,0.90022035,1.733454823,0,-0.237174653,-2.04E-05,0.116363637,0.34288004,,,,,,,,,,,
2812,0.902253107,1.727319121,0,-0.237816801,-1.06E-05,0.101634577,0.306789398,,,,,,,,,,,
2813,0.903987841,1.721910834,0,-0.237872441,-9.22E-07,0.086737588,0.270416319,,,,,,,,,,,
2814,0.905422405,1.717233062,0,-0.237347255,8.70E-06,0.071728118,0.233885407,,,,,,,,,,,
2815,0.906555549,1.713287115,0,-0.236248091,1.82E-05,0.056658238,0.197300076,,,,,,,,,,,
2816,0.907387094,1.710071564,0,-0.234581905,2.76E-05,0.041578934,0.160775855,,,,,,,,,,,
2817,0.907917754,1.707583308,0,-0.232357096,3.68E-05,0.026533987,0.124414444,,,,,,,,,,,
2818,0.908149318,1.705816865,0,-0.229583094,4.59E-05,0.011576669,0.088320211,,,,,,,,,,,
2819,0.908084468,1.704764605,0,-0.226269548,5.48E-05,-0.003241603,0.052617375,,,,,,,,,,,
2820,0.907727079,1.704416752,0,-0.222428785,6.35E-05,-0.017869551,0.017394342,,,,,,,,,,,
2821,0.907081739,1.704761624,0,-0.218072599,7.20E-05,-0.03226709,-0.017248584,,,,,,,,,,,
2822,0.906153993,1.705785513,0,-0.213213932,8.02E-05,-0.04638613,-0.051191486,,,,,,,,,,,
2823,0.904950396,1.70747292,0,-0.207868057,8.82E-05,-0.06017822,-0.084369972,,,,,,,,,,,
2824,0.9034784,1.709805965,0,-0.202050101,9.60E-05,-0.073600151,-0.116656318,,,,,,,,,,,
2825,0.901745872,1.712765932,0,-0.195775347,0.000103507,-0.086627044,-0.147994429,,,,,,,,,,,
2826,0.899761812,1.71633172,0,-0.189061047,0.00011072,-0.09920001,-0.178288117,,,,,,,,,,,
2827,0.897535876,1.720480919,0,-0.181925473,0.000117626,-0.111300036,-0.20746249,,,,,,,,,,,
2828,0.895078139,1.725189567,0,-0.174385456,0.00012425,-0.122886389,-0.235431552,,,,,,,,,,,
2829,0.892399565,1.73043251,0,-0.166461302,0.000130536,-0.133929223,-0.262146175,,,,,,,,,,,
2830,0.889511422,1.736183047,0,-0.158171139,0.00013652,-0.144406259,-0.287530124,,,,,,,,,,,
2831,0.88642563,1.74241364,0,-0.149535784,0.000142157,-0.154288471,-0.311527014,,,,,,,,,,,
2832,0.883154647,1.74909544,0,-0.140576646,0.000147436,-0.16354908,-0.334088981,,,,,,,,,,,
2833,0.879710929,1.756198883,0,-0.131313096,0.000152394,-0.172182962,-0.355169237,,,,,,,,,,,
2834,0.876107768,1.763693452,0,-0.121768617,0.000156963,-0.180157527,-0.374721646,,,,,,,,,,,
