lower angle,upper angle,system x,acceleration,holding angle,ticks (50 tps)
1.373159544,0.450547248,0.060798489,-0.000194536,0,227
1.373043672,0.451123029,0.059256215,-0.000217142,0,228
1.37307112,0.451393515,0.057553668,-0.000238997,0,229
1.373237656,0.451367676,0.055695608,-0.000260055,0,230
1.373538808,0.45105511,0.053686489,-0.000280369,0,231
1.37396966,0.450466156,0.051532342,-0.000299728,0,232
1.374525071,0.449611872,0.049238259,-0.00031827,0,233
1.375199483,0.448504031,0.046810704,-0.000335809,0,234
1.375987084,0.447154969,0.044256311,-0.000352316,0,235
1.376881764,0.44557789,0.041580903,-0.000367934,0,236
1.377877117,0.443786293,0.038792367,-0.000382374,0,237
1.378966452,0.441794485,0.035897898,-0.000395768,0,238
1.380142839,0.439617217,0.032905284,-0.000408015,0,239
1.381399111,0.437269837,0.029822145,-0.000419155,0,240
1.382727862,0.434768021,0.026657294,-0.000429031,0,241
1.384121479,0.432128102,0.023418712,-0.000437749,0,242
1.385572166,0.429366678,0.020115162,-0.000445288,0,243
1.387071968,0.426500648,0.016755853,-0.000451525,0,244
1.388612748,0.423547417,0.013349562,-0.000456519,0,245
1.390186236,0.420524538,0.009905911,-0.000460249,0,246
1.391784073,0.417449832,0.006434229,-0.000462697,0,247
1.393397794,0.414341271,0.002944332,-0.000463828,0,248
1.395018891,0.411217064,-0.000554644,-0.000463735,0,249
1.396638767,0.40809536,-0.004052191,-0.000462297,0,250
1.398248867,0.404994518,-0.007539404,-0.000459648,0,251
1.399840579,0.401932746,-0.011005907,-0.000455657,0,252
1.401405365,0.398928165,-0.014441762,-0.000450375,0,253
1.402934716,0.395998955,-0.0178377,-0.000443908,0,254
1.404420228,0.393162906,-0.021183724,-0.000436189,0,255
1.405853585,0.390437722,-0.024470457,-0.000427287,0,256
1.407226623,0.387840748,-0.027688485,-0.000417211,0,257
1.408531294,0.38538903,-0.0308283,-0.000405948,0,258
1.409759776,0.383099198,-0.033880945,-0.000393607,0,259
1.410904438,0.380987495,-0.036837806,-0.000380233,0,260
1.411957891,0.379069507,-0.039689772,-0.000365737,0,261
1.412913011,0.377360523,-0.042429429,-0.000350384,0,262
1.413762943,0.375874937,-0.045047996,-0.000333995,0,263
1.414501117,0.374626786,-0.047538257,-0.000316775,0,264
1.415121348,0.373629212,-0.049893065,-0.000298749,0,265
1.415617735,0.372894704,-0.052105303,-0.000279913,0,266
1.415984781,0.372434944,-0.054168552,-0.000260364,0,267
1.416217358,0.372260869,-0.056077041,-0.000240193,0,268
1.416310758,0.372382522,-0.057825414,-0.000219466,0,269
1.416260676,0.372808963,-0.059408092,-0.000198142,0,270
1.416063235,0.373548508,-0.060820852,-0.000176396,0,271
1.41571504,0.374608427,-0.062059835,-0.000154293,0,272
1.415213139,0.37599498,-0.063121341,-0.000131847,0,273
1.414555029,0.377713501,-0.064002281,-0.000109134,0,274
1.413738729,0.379768342,-0.064700772,-8.63E-05,0,275
1.412762703,0.382162809,-0.065214934,-6.34E-05,0,276
1.411625923,0.384899139,-0.065543451,-4.04E-05,0,277
1.410327853,0.387978554,-0.065685699,-1.74E-05,0,278
1.408868448,0.391401201,-0.065641443,5.41E-06,0,279
1.407248185,0.395166188,-0.065411345,2.81E-05,0,280
1.405467958,0.399271727,-0.064996479,5.05E-05,0,281
1.403529213,0.403714806,-0.064398263,7.26E-05,0,282
1.401433901,0.408491492,-0.06361945,9.43E-05,0,283
1.399184377,0.413596809,-0.062662269,0.000115571,0,284
1.396783502,0.419024825,-0.061530137,0.000136343,0,285
1.394234584,0.424768686,-0.060227099,0.000156547,0,286
1.391541393,0.430820525,-0.058757553,0.000176106,0,287
1.388708071,0.437171727,-0.057126553,0.000194956,0,288
1.385739208,0.443812579,-0.055338883,0.000213147,0,289
1.382639767,0.450732738,-0.053400599,0.000230525,0,290
1.379415096,0.457921088,-0.051318449,0.000247014,0,291
1.376070873,0.465365559,-0.049098263,0.000262734,0,292
1.372613103,0.473053575,-0.046747231,0.000277527,0,293
1.36904812,0.480971932,-0.044273291,0.000291273,0,294
1.365382508,0.489106655,-0.041683508,0.000304133,0,295
1.361623139,0.497443378,-0.038986383,0.000315956,0,296
1.357777075,0.50596714,-0.036189748,0.000326847,0,297
1.353851588,0.514662623,-0.033302149,0.000336641,0,298
1.349854113,0.523514152,-0.030332321,0.00034538,0,299
1.345792265,0.532505631,-0.027289072,0.000353057,0,300
1.341673748,0.541620672,-0.024180828,0.0003597,0,301
1.33750637,0.550842941,-0.021017608,0.00036517,0,302
1.333297984,0.560155571,-0.017807338,0.00036971,0,303
1.329056532,0.569541931,-0.014560261,0.000373037,0,304
1.324789883,0.578985035,-0.011284031,0.000375431,0,305
1.320505993,0.588468313,-0.007989508,0.000376582,0,306
1.31621267,0.597974777,-0.004683809,0.000376933,0,307
1.311917768,0.607487917,-0.001377025,0.000376149,0,308
1.307629005,0.616991222,0.00192224,0.000374396,0,309
1.303353922,0.62646842,0.005206209,0.000371777,0,310
1.299100117,0.635903418,0.008465432,0.000368096,0,311
1.294874833,0.64528048,0.011692785,0.000363626,0,312
1.290685282,0.654584289,0.014879348,0.000358176,0,313
1.286538438,0.663799644,0.018018298,0.000352001,0,314
1.282441155,0.672911942,0.021101191,0.000344901,0,315
1.27839999,0.681906939,0.024121205,0.000337066,0,316
1.27442132,0.690770864,0.027071175,0.000328469,0,317
1.270511285,0.69949019,0.029945445,0.000319292,0,318
1.266675786,0.708052397,0.032736115,0.000309288,0,319
1.262920425,0.716445088,0.035438063,0.000298759,0,320
1.259250657,0.724656343,0.038045499,0.000287665,0,321
1.255671547,0.732675135,0.0405527,0.000275993,0,322
1.252187953,0.740490675,0.042955125,0.000263841,0,323
1.248804466,0.748093069,0.045246946,0.000251111,0,324
1.245525406,0.75547266,0.047424207,0.000238031,0,325
1.242354707,0.762620807,0.049482478,0.000224502,0,326
1.239296124,0.769528985,0.051418751,0.000210708,0,327
1.236353115,0.776189685,0.053228544,0.00019649,0,328
1.233528868,0.782595754,0.054908694,0.000182,0,329
1.230826215,0.788740754,0.056456675,0.000167319,0,330
1.228247718,0.794618845,0.057870156,0.000152435,0,331
1.225795672,0.800225019,0.059145886,0.000137264,0,332
1.223472104,0.805554509,0.060282515,0.000122032,0,333
1.221278773,0.810603261,0.061278345,0.000106675,0,334
1.219217108,0.815368176,0.062130898,9.11E-05,0,335
1.217288242,0.819846213,0.062840783,7.57E-05,0,336
1.215493099,0.824035406,0.063405936,6.01E-05,0,337
1.213832305,0.827934206,0.063825714,4.46E-05,0,338
1.212306217,0.831541538,0.064100282,2.91E-05,0,339
1.210914896,0.834857106,0.064229556,1.37E-05,0,340
1.209658132,0.837881207,0.064213714,-1.67E-06,0,341
1.208535479,0.840614617,0.064053417,-1.69E-05,0,342
1.20754622,0.843058825,0.063749043,-3.20E-05,0,343
1.206689433,0.845215738,0.063301401,-4.69E-05,0,344
1.205963866,0.84708786,0.062712244,-6.16E-05,0,345
1.205367968,0.84867841,0.061983377,-7.60E-05,0,346
1.204900102,0.849990964,0.061115992,-9.03E-05,0,347
1.204558269,0.851029754,0.06011228,-0.000104242,0,348
1.204340206,0.851799548,0.058974989,-0.000117853,0,349
1.204243527,0.852305591,0.057706032,-0.00013121,0,350
1.204265521,0.852553844,0.056307712,-0.000144273,0,351
1.204403208,0.852550447,0.054784547,-0.000156812,0,352
1.204653458,0.852302372,0.053138891,-0.000169075,0,353
1.205012904,0.851816833,0.051374697,-0.000180843,0,354
1.205477969,0.851101637,0.049495526,-0.000192215,0,355
1.206044809,0.850165308,0.04750465,-0.000203201,0,356
1.206709401,0.849016368,0.045407378,-0.000213599,0,357
1.207467482,0.847664177,0.043207841,-0.000223529,0,358
1.208314703,0.846118212,0.040910643,-0.000232957,0,359
1.209246413,0.844388723,0.038520148,-0.0002419,0,360
1.210257755,0.842486143,0.036042243,-0.000250219,0,361
1.211343811,0.840421319,0.033481561,-0.000258048,0,362
1.212499426,0.838205457,0.030843757,-0.000265282,0,363
1.213719175,0.835850239,0.02813528,-0.000271811,0,364
1.214997695,0.833367527,0.025361088,-0.000277824,0,365
1.216329292,0.830769658,0.022527596,-0.000283163,0,366
1.217708186,0.82806921,0.019641114,-0.000287877,0,367
1.219128446,0.825278938,0.016708788,-0.000291835,0,368
1.22058414,0.822412014,0.013735811,-0.000295266,0,369
1.22206913,0.819481611,0.010729716,-0.000297922,0,370
1.223577187,0.816501319,0.00769708,-0.000299888,0,371
1.225102023,0.813484728,0.004645144,-0.000301165,0,372
1.22663729,0.810445666,0.001580689,-0.000301774,0,373
1.22817658,0.807398081,-0.001489403,-0.000301704,0,374
1.229713426,0.80435586,-0.004557309,-0.000300863,0,375
1.231241361,0.80133307,-0.00761606,-0.000299355,0,376
1.232753919,0.798343718,-0.010658421,-0.000297139,0,377
1.234244601,0.795401871,-0.013677113,-0.000294224,0,378
1.235706971,0.792521417,-0.0166647,-0.000290596,0,379
1.237134622,0.789716244,-0.019614095,-0.000286298,0,380
1.238521234,0.78700006,-0.02251839,-0.000281372,0,381
1.239860491,0.784386337,-0.025369557,-0.000275655,0,382
1.241146253,0.781888366,-0.028160758,-0.000269335,0,383
1.242372439,0.779519439,-0.030885832,-0.000262425,0,384
1.24353315,0.777292132,-0.033537268,-0.000254817,0,385
1.244622544,0.775219023,-0.036108227,-0.000246579,0,386
1.245635019,0.773312271,-0.038592596,-0.000237791,0,387
1.246565179,0.771583498,-0.040984085,-0.000228448,0,388
1.24740778,0.770044088,-0.043276957,-0.00021859,0,389
1.248157756,0.768704772,-0.045464382,-0.000208119,0,390
1.248810367,0.76757592,-0.047541545,-0.000197233,0,391
1.249361054,0.766667366,-0.049503098,-0.000185903,0,392
1.249805586,0.76598829,-0.051344288,-0.000174149,0,393
1.250139878,0.765547276,-0.0530592,-0.000161878,0,394
1.250360237,0.765352488,-0.054644314,-0.000149331,0,395
1.250463323,0.765411198,-0.056095907,-0.000136482,0,396
1.250446008,0.765730083,-0.057409761,-0.000123288,0,397
1.250305549,0.766315162,-0.058582917,-0.000109868,0,398
1.250039504,0.767171681,-0.05961209,-9.62E-05,0,399
1.249645756,0.768304348,-0.060495132,-8.24E-05,0,400
1.249122636,0.76971674,-0.061229573,-6.84E-05,0,401
