lower angle,upper angle,systemdisplacement,horizontal displacement acceleration,ticks since start (50 ticks per second)
,,,,
1.527869721,0.104075134,-0.020435782,-4.13E-06,315
,,,,
1.527428095,0.105101347,-0.020410572,2.91E-06,316
,,,,
1.526933537,0.10623952,-0.020324429,9.92E-06,317
,,,,
1.526386288,0.107489139,-0.020177607,1.69E-05,318
,,,,
1.525786751,0.108849362,-0.019970603,2.37E-05,319
,,,,
1.525135485,0.110319018,-0.019704107,3.05E-05,320
,,,,
1.5244332,0.111896597,-0.019378882,3.71E-05,321
,,,,
1.523680759,0.113580287,-0.018995951,4.36E-05,322
,,,,
1.522879177,0.115367949,-0.018556533,4.99E-05,323
,,,,
1.522029613,0.117257133,-0.01806194,5.60E-05,324
,,,,
1.521133379,0.11924506,-0.017513631,6.19E-05,325
,,,,
1.520191916,0.121328697,-0.016913335,6.76E-05,326
,,,,
1.519206804,0.123504713,-0.016262905,7.31E-05,327
,,,,
1.518179757,0.125769481,-0.015564273,7.83E-05,328
,,,,
1.51711261,0.128119111,-0.014819509,8.33E-05,329
,,,,
1.516007313,0.130549505,-0.014030955,8.80E-05,330
,,,,
1.51486594,0.133056283,-0.013201023,9.24E-05,331
,,,,
1.513690659,0.135634869,-0.012332248,9.65E-05,332
,,,,
1.512483743,0.138280421,-0.011427037,0.000100289,333
,,,,
1.511247561,0.140987948,-0.010488203,0.000103774,334
,,,,
1.509984569,0.143752292,-0.009518747,0.000106909,335
,,,,
1.508697287,0.14656812,-0.008521558,0.000109709,336
,,,,
1.507388317,0.149429888,-0.007499389,0.000112196,337
,,,,
1.506060326,0.152332008,-0.006455581,0.000114306,338
,,,,
1.504716017,0.155268729,-0.005393072,0.000116097,339
,,,,
1.503358171,0.158234224,-0.004315327,0.00011749,340
,,,,
1.501989567,0.161222547,-0.003225186,0.000118566,341
,,,,
1.500613042,0.164227754,-0.00212622,0.000119249,342
,,,,
1.499231429,0.167243779,-0.001021288,0.000119623,343
,,,,
1.497847595,0.170264632,8.59E-05,0.000119596,344
,,,,
1.496464402,0.173284248,0.001192125,0.00011922,345
,,,,
1.495084704,0.176296562,0.002294238,0.000118516,346
,,,,
1.493711338,0.179295614,0.003388737,0.000117432,347
,,,,
1.492347115,0.182275385,0.004472787,0.000116047,348
,,,,
1.490994827,0.185230002,0.005542958,0.000114304,349
,,,,
1.489657209,0.188153669,0.006596152,0.000112239,350
,,,,
1.488336981,0.191040665,0.007629063,0.000109829,351
,,,,
1.487036766,0.193885371,0.008639017,0.000107145,352
,,,,
1.485759133,0.196682379,0.009622887,0.000104142,353
,,,,
1.484506616,0.199426308,0.010577842,0.000100857,354
,,,,
1.483281628,0.202112064,0.011501024,9.73E-05,355
,,,,
1.482086518,0.204734653,0.012389847,9.35E-05,356
,,,,
1.480923542,0.207289279,0.013241801,8.94E-05,357
,,,,
1.479794868,0.20977138,0.014054222,8.50E-05,358
,,,,
1.478702531,0.212176606,0.014824989,8.05E-05,359
,,,,
1.47764849,0.21450083,0.015551724,7.57E-05,360
,,,,
1.476634578,0.216740146,0.016232424,7.08E-05,361
,,,,
1.475662493,0.21889098,0.016865011,6.56E-05,362
,,,,
1.474733823,0.220949918,0.017447911,6.04E-05,363
,,,,
1.47385002,0.222913906,0.017979322,5.49E-05,364
,,,,
1.473012426,0.224780083,0.018457791,4.93E-05,365
,,,,
1.472222217,0.22654596,0.018881922,4.36E-05,366
,,,,
1.47148043,0.228209287,0.019250798,3.79E-05,367
,,,,
1.470788003,0.229768142,0.019562977,3.20E-05,368
,,,,
1.470145688,0.231220886,0.019817807,2.60E-05,369
,,,,
1.469554097,0.232566178,0.02001481,2.01E-05,370
,,,,
1.469013722,0.233803064,0.020152942,1.41E-05,371
,,,,
1.468524867,0.234930828,0.020232186,8.05E-06,372
,,,,
1.468087726,0.235949054,0.020252334,2.04E-06,373
,,,,
1.4677023,0.236857727,0.020213443,-3.93E-06,374
,,,,
1.467368492,0.237657085,0.020115429,-9.89E-06,375
,,,,
1.467086026,0.238347679,0.01995876,-1.58E-05,376
,,,,
1.466854469,0.238930404,0.019744022,-2.16E-05,377
,,,,
1.466673263,0.239406466,0.019471719,-2.73E-05,378
,,,,
1.466541716,0.239777356,0.019142511,-3.29E-05,379
,,,,
1.466458955,0.240044877,0.018757609,-3.84E-05,380
,,,,
1.466423989,0.240211144,0.018318047,-4.38E-05,381
,,,,
1.466435694,0.240278512,0.017825252,-4.90E-05,382
,,,,
1.466492803,0.240249664,0.017280668,-5.40E-05,383
,,,,
1.466593922,0.240127563,0.01668581,-5.89E-05,384
,,,,
1.46673754,0.23991546,0.016042169,-6.36E-05,385
,,,,
1.466921994,0.239616811,0.015351967,-6.81E-05,386
,,,,
1.467145533,0.239235327,0.014617196,-7.23E-05,387
,,,,
1.467406289,0.238775,0.013839827,-7.63E-05,388
,,,,
1.467702271,0.238240018,0.013022274,-8.01E-05,389
,,,,
1.468031407,0.237634808,0.012166709,-8.37E-05,390
,,,,
1.468391516,0.236963958,0.01127581,-8.70E-05,391
,,,,
1.46878031,0.236232311,0.010352209,-9.00E-05,392
,,,,
1.469195464,0.235444829,0.00939837,-9.27E-05,393
,,,,
1.469634526,0.234606698,0.008417137,-9.52E-05,394
,,,,
1.470094995,0.233723179,0.0074116,-9.73E-05,395
,,,,
1.470574313,0.232799724,0.006384476,-9.92E-05,396
,,,,
1.471069873,0.231841847,0.005338807,-0.000100818,397
,,,,
1.471578994,0.230855241,0.004277612,-0.000102108,398
,,,,
1.47209897,0.229845613,0.003204102,-0.000103081,399
,,,,
1.472627067,0.228818774,0.002121311,-0.000103757,400
,,,,
1.473160514,0.227780625,0.001032258,-0.000104153,401
,,,,
1.473696516,0.226737022,-5.95E-05,-0.000104198,402
,,,,
1.47423231,0.225693837,-0.001150975,-0.000103963,403
,,,,
1.474765093,0.224657029,-0.002238999,-0.00010343,404
,,,,
1.475292073,0.22363247,-0.003320156,-0.000102581,405
,,,,
1.475810499,0.22262606,-0.004391701,-0.000101464,406
,,,,
1.476317623,0.221643552,-0.005450111,-0.000100021,407
,,,,
1.476810725,0.220690727,-0.006492381,-9.83E-05,408
,,,,
1.477287144,0.219773233,-0.007515534,-9.63E-05,409
,,,,
1.477744252,0.218896613,-0.008516414,-9.40E-05,410
,,,,
1.478179486,0.218066305,-0.009492137,-9.15E-05,411
,,,,
1.478590355,0.21728757,-0.010439795,-8.87E-05,412
,,,,
1.478974418,0.216565594,-0.011356635,-8.56E-05,413
,,,,
1.479329341,0.215905309,-0.012239949,-8.23E-05,414
,,,,
1.479652838,0.215311572,-0.01308718,-7.88E-05,415
,,,,
1.479942747,0.214788929,-0.013895687,-7.51E-05,416
,,,,
1.480197006,0.214341804,-0.014663386,-7.11E-05,417
,,,,
1.480413632,0.213974342,-0.015387715,-6.70E-05,418
,,,,
1.480590762,0.21369049,-0.016066553,-6.27E-05,419
,,,,
1.480726683,0.213493913,-0.016698121,-5.82E-05,420
,,,,
1.48081977,0.213388041,-0.017280484,-5.36E-05,421
,,,,
1.480868519,0.213376015,-0.017811682,-4.87E-05,422
,,,,
1.480871596,0.213460729,-0.018290523,-4.39E-05,423
,,,,
1.480827772,0.213644728,-0.018715298,-3.88E-05,424
,,,,
1.480735974,0.213930339,-0.019085038,-3.37E-05,425
,,,,
1.480595247,0.214319542,-0.019398439,-2.85E-05,426
,,,,
1.480404818,0.214813992,-0.019654665,-2.33E-05,427
,,,,
1.480164037,0.215415075,-0.019853025,-1.80E-05,428
,,,,
1.479872414,0.216123864,-0.019993101,-1.27E-05,429
,,,,
1.479529598,0.216941029,-0.020074103,-7.32E-06,430
,,,,
1.479135417,0.217866987,-0.020096095,-1.98E-06,431
,,,,
1.478689835,0.218901843,-0.020059146,3.33E-06,432
,,,,
1.478192949,0.220045343,-0.019963092,8.63E-06,433
,,,,
1.477645048,0.221296906,-0.019808421,1.39E-05,434
,,,,
1.477046558,0.222655639,-0.019595621,1.91E-05,435
,,,,
1.476398044,0.224120364,-0.01932543,2.41E-05,436
,,,,
1.475700245,0.22568953,-0.01899873,2.91E-05,437
,,,,
1.474953995,0.227361336,-0.018616265,3.40E-05,438
,,,,
1.47416033,0.229133606,-0.018179284,3.88E-05,439
,,,,
1.473320396,0.231003955,-0.017689314,4.35E-05,440
,,,,
1.472435475,0.232969627,-0.017147572,4.80E-05,441
,,,,
1.471506999,0.235027656,-0.016556006,5.23E-05,442
,,,,
1.470536509,0.237174749,-0.015916214,5.64E-05,443
,,,,
1.469525666,0.239407375,-0.015230008,6.04E-05,444
,,,,
1.468476267,0.241721779,-0.014499669,6.42E-05,445
,,,,
1.46739021,0.244113922,-0.013727274,6.77E-05,446
,,,,
1.466269502,0.246579587,-0.012915242,7.11E-05,447
,,,,
1.465116256,0.249114305,-0.012066033,7.42E-05,448
,,,,
1.463932664,0.251713425,-0.011182086,7.71E-05,449
,,,,
1.462721014,0.25437209,-0.010265938,7.98E-05,450
,,,,
1.461483651,0.257085323,-0.00932023,8.22E-05,451
,,,,
1.46022305,0.259847999,-0.008348371,8.43E-05,452
,,,,
1.458941684,0.262654752,-0.007352537,8.62E-05,453
,,,,
1.457642124,0.265500218,-0.006336082,8.79E-05,454
,,,,
1.456326963,0.268378884,-0.005301861,8.92E-05,455
,,,,
1.454998859,0.271285176,-0.004253236,9.03E-05,456
,,,,
1.453660482,0.274213314,-0.003192584,9.12E-05,457
,,,,
1.452314542,0.277157634,-0.002123445,9.17E-05,458
,,,,
1.450963759,0.280112356,-0.001048835,9.20E-05,459
,,,,
1.44961086,0.283071727,2.80E-05,9.21E-05,460
,,,,
1.448258587,0.286029935,0.001103864,9.18E-05,461
,,,,
1.446909652,0.288981229,0.00217572,9.13E-05,462
,,,,
1.44556676,0.291919857,0.003240543,9.06E-05,463
,,,,
1.444232614,0.294840097,0.004295169,8.95E-05,464
,,,,
1.442909838,0.297736347,0.005336806,8.83E-05,465
,,,,
1.441601084,0.300603062,0.006361986,8.67E-05,466
,,,,
1.44030887,0.303434759,0.007368557,8.50E-05,467
,,,,
1.439035759,0.306226164,0.008352741,8.30E-05,468
,,,,
1.437784181,0.308972001,0.009312378,8.07E-05,469
,,,,
1.436556519,0.311667204,0.010244772,7.83E-05,470
,,,,
1.435355113,0.314306915,0.011146682,7.56E-05,471
,,,,
1.434182168,0.316886306,0.012016335,7.28E-05,472
,,,,
1.43303986,0.319400847,0.012850776,6.97E-05,473
,,,,
1.43193023,0.321846157,0.013647901,6.65E-05,474
,,,,
1.430855245,0.324218065,0.014405424,6.31E-05,475
,,,,
1.429816769,0.326512635,0.015121092,5.95E-05,476
,,,,
1.428816528,0.328726143,0.015793193,5.58E-05,477
,,,,
1.427856193,0.330855042,0.016419811,5.19E-05,478
,,,,
1.426937253,0.332896173,0.016999192,4.79E-05,479
,,,,
1.42606114,0.334846497,0.017529686,4.38E-05,480
,,,,
1.425229133,0.336703271,0.018009907,3.96E-05,481
,,,,
1.424442382,0.338464022,0.018438705,3.53E-05,482
,,,,
1.423701928,0.340126574,0.018814655,3.09E-05,483
,,,,
1.423008652,0.34168905,0.019136774,2.64E-05,484
,,,,
1.422363327,0.343149751,0.01940442,2.19E-05,485
,,,,
1.421766565,0.344507366,0.019616934,1.74E-05,486
,,,,
1.421218888,0.345760822,0.019773508,1.28E-05,487
,,,,
1.420720638,0.346909374,0.019873809,8.17E-06,488
,,,,
1.420272009,0.347952604,0.019917613,3.56E-06,489
,,,,
1.41987309,0.348890245,0.01990519,-1.01E-06,490
,,,,
1.419523836,0.349722475,0.019836128,-5.59E-06,491
,,,,
1.419224055,0.350449651,0.019710896,-1.01E-05,492
,,,,
1.418973387,0.351072609,0.019529488,-1.46E-05,493
,,,,
1.418771357,0.351592153,0.019293493,-1.90E-05,494
,,,,
1.418617399,0.352009743,0.019002204,-2.34E-05,495
,,,,
1.418510721,0.35232687,0.018657462,-2.77E-05,496
,,,,
1.418450476,0.352545351,0.01826014,-3.19E-05,497
,,,,
