,,,,,,,,,,,2645,0.640433625,2.596652269,0,0.386776147,5.19E-05,-0.032313652,-0.057495229
3137,2.266666249,-1.772631168,0,0.134866591,0.000150445,-0.195422575,-0.414701968,,,,,,,,,,,
3143,2.247068719,-1.732311249,0,0.18843256,0.000118906,-0.137117237,-0.272193074,,,,,,,,,,,
3149,2.23596795,-1.712581635,0,0.226831737,7.69E-05,-0.058258068,-0.081859976,,,,,,,,,,,
3155,2.235299901,-1.717993736,0,0.24638247,2.71E-05,0.033117466,0.13845174,,,,,,,,,,,
3161,2.245840387,-1.750574112,0,0.244649499,-2.70E-05,0.126395687,0.365802199,,,,,,,,,,,
3167,2.267025308,-1.809448719,0,0.22060795,-8.21E-05,0.210320458,0.575729072,,,,,,,,,,,
3173,2.297024564,-1.89094162,0,0.17466464,-0.000134536,0.275123954,0.746145964,,,,,,,,,,,
3179,2.333043889,-1.989073753,0,0.108630338,-0.000180777,0.314178348,0.860203683,,,,,,,,,,,
3185,2.37175496,-2.096270084,0,0.025874912,-0.000216758,0.324578345,0.907148719,,,,,,,,,,,
3191,2.409717874,-2.204070568,0,-0.06808272,-0.000236441,0.306710631,0.881919622,,,,,,,,,,,
3197,2.443721608,-2.303776979,0,-0.164809206,-0.000232159,0.263433576,0.78469646,,,,,,,,,,,
3203,2.471014814,-2.387094975,0,-0.25271475,-0.000196878,0.199179009,0.621239841,,,,,,,,,,,
3209,2.489457444,-2.446876526,0,-0.318287256,-0.000128524,0.119465686,0.403986394,,,,,,,,,,,
